Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
24911427,Catholic Realism,Sebastian Mahfood,"Mahfood, Sebastian",Ronda Chervin,"=""""","=""""",3,4.17,En Route Books,Paperback,,2014,2015,,2015/11/07,,,read,,,,1,,,0,,,,,
23474993,"The New American Bible, Revised Edition",United States Conference of Catholic Bishops,"Bishops, United States Conference of Catholic",,"=""""","=""""",5,4.73,Our Sunday Visitor,Kindle Edition,1944,2013,1992,,2015/12/30,,,read,,,,1,,,0,,,,,
49116,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439136350""","=""9780439136358""",0,4.57,Arthur A. Levine Books / Scholastic Inc.,Hardcover,435,1999,1999,,2014/09/14,own,own (#2),read,,,,1,,,0,,,,,
8258475,Light of Faith : The Compendium of Theology,Thomas Aquinas,"Aquinas, Thomas",,"=""0965057895""","=""9780965057899""",0,4.13,Book of the Month Club,Hardcover,,1998,1948,,2014/09/14,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
672763,Rediscovering Catholicism: Journeying Toward Our Spiritual North Star,Matthew Kelly,"Kelly, Matthew",,"=""1592760120""","=""9781592760121""",3,4.18,Our Sunday Visitor,Hardcover,313,2003,2002,,2013/03/20,,,read,,,,1,,,0,,,,,
115929,The New American Bible,Anonymous,"Anonymous, Anonymous",United States Conference of Catholic Bishops,"=""0529064847""","=""9780529064844""",5,4.52,Nelson Bibles,Paperback,1394,2011,1899,,2013/10/14,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
19682631,The God of Jesus Christ: Meditations on the Triune God,Benedict XVI,"XVI, Benedict",,"=""""","=""""",5,4.52,Ignatius Press,Hardcover,120,2008,1976,,2014/01/31,,,read,,,,1,,,0,,,,,
22535480,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301268""","=""9780062301260""",5,4.21,Ecco,ebook,416,2015,2015,,2015/06/06,,,read,,,,1,,,0,,,,,
22631798,Catholic Literary Giants: A Field Guide to the Catholic Literary Landscape,Joseph Pearce,"Pearce, Joseph",,"=""1586179446""","=""9781586179441""",4,3.83,Ignatius Press,Hardcover,450,2014,2005,,2015/03/29,,,read,,,,1,,,0,,,,,
6404803,Highest Duty: My Search for What Really Matters,Chesley B. Sullenberger,"Sullenberger, Chesley B.",Jeffrey Zaslow,"=""0061924687""","=""9780061924682""",3,4.16,William Morrow,Hardcover,352,2009,2009,,2013/03/20,,,read,,,,1,,,0,,,,,
21898815,Vision to Reality: How Short Term Massive Action Equals Long Term Maximum Results,Honoree Corder,"Corder, Honoree",,"=""0984796789""","=""9780984796786""",2,3.86,Honoree Enterprises Publishing,Paperback,162,2014,2014,,2016/02/15,,,read,,,,1,,,0,,,,,
9818767,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott","Aaron Johnston, Pop Mhan, Veronica Gandini","=""0785135863""","=""9780785135869""",0,4.07,Marvel,Hardcover,128,2011,1986,,2013/03/20,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
22669010,A Curious Mind: The Secret to a Bigger Life,Brian Grazer,"Grazer, Brian",Charles Fishman,"=""147673075X""","=""9781476730752""",4,3.37,Simon  Schuster,Hardcover,320,2015,2014,,2016/02/27,,,read,,,,1,,,0,,,,,
6738878,"You Can't Predict a Hero: From War to Wall Street, Leading in Times of Crisis",Joseph J. Grano Jr.,"Jr., Joseph J. Grano","Mark       Levine, Lee Iacocca","=""0470411678""","=""9780470411674""",4,3.23,Jossey-Bass,Hardcover,223,2009,2009,,2016/02/15,,,read,,,,1,,,0,,,,,
3828902,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana       Wright,"=""1603580557""","=""9781603580557""",4,4.27,Chelsea Green Publishing,Paperback,240,2008,2008,,2016/02/15,,,read,,,,1,,,0,,,,,
25126613,"Solar Power Demystified: The Beginners Guide To Solar Power, Energy Independence And Lower Bills",Lacho Popo,"Popo, Lacho",Dimi Avram,"=""""","=""""",2,3.24,Digital Publishing Ltd,Kindle Edition,150,2015,2015,,2016/02/15,,,read,,,,1,,,0,,,,,
15418170,"The Autobiography of St. Ignatius Loyola, with Related Documents",Joseph F. O'Callaghan,"O'Callaghan, Joseph F.",Ignatius of Loyola,"=""0844652407""","=""9780844652405""",4,3.83,Peter Smith Publisher,Hardcover,,,,,2016/02/15,,,read,,,,1,,,0,,,,,
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus","Martin Hammond, Albert Wittstock, Simone Mooij-Valk, Diskin Clay","=""0140449337""","=""9780140449334""",4,4.22,Penguin Books,Paperback,303,2006,180,,2016/02/15,,,read,,,,1,,,0,,,,,
10650773,How to Read Churches: A Crash Course in Ecclesiastical Architecture,Denis R. McNamara,"McNamara, Denis R.",,"=""0847835987""","=""9780847835980""",5,3.92,Rizzoli,Paperback,256,2011,2011,,2016/02/15,,,read,,,,1,,,0,,,,,
448135,The Coldest Winter: America and the Korean War,David Halberstam,"Halberstam, David",,"=""1401300529""","=""9781401300524""",4,4.22,Hyperion,Hardcover,734,2007,2007,,2016/02/15,,,read,,,,1,,,0,,,,,
4711854,The Machine Stops,E.M. Forster,"Forster, E.M.",,"=""140990329X""","=""9781409903291""",5,4.07,Dodo Press,Paperback,48,2008,1909,,2016/02/15,,,read,,,,1,,,0,,,,,
8136842,"Smart Power: Climate Change, the Smart Grid, and the Future of Electric Utilities",Peter Fox-Penner,"Fox-Penner, Peter",,"=""1597267066""","=""9781597267069""",4,3.84,Island Press,Paperback,344,2010,2010,,2016/01/21,,,read,,,,1,,,0,,,,,
110795,Catechism of the Catholic Church,Pope John Paul II,"II, Pope John Paul","The Catholic Church, Benedict XVI, United States Conference of Catholic Bishops","=""0385479670""","=""9780385479677""",5,4.43,Image,Paperback,864,1995,1992,2015/12/30,2013/10/14,,,read,,,,1,,,0,,,,,
